City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp (F),Wind Speed
Jamestown,US,1584164385,42.1,-79.24,1,67,35.01,11.41
Albany,US,1584164356,42.6,-73.97,1,55,39.99,14.99
Vila Velha,BR,1584164584,-20.33,-40.29,75,94,75.2,3.36
Torbay,CA,1584164538,47.67,-52.73,75,79,28.0,23.04
Ilulissat,GL,1584164558,69.22,-51.1,100,71,3.2,17.22
Norman Wells,CA,1584164550,65.28,-126.83,75,71,8.6,3.36
Vaini,TO,1584164534,-21.2,-175.2,75,94,77.0,14.99
Khatanga,RU,1584164542,71.97,102.5,100,94,6.49,12.75
Takoradze,GH,1584164619,4.88,-1.76,1,94,77.47,3.89
Kalakamati,BW,1584164786,-20.59,27.31,40,100,66.2,2.24
Ancud,CL,1584164576,-41.87,-73.82,20,100,42.8,3.04
Mataura,NZ,1584164536,-46.19,168.86,6,76,61.41,4.68
Ribeira Grande,PT,1584164534,38.52,-28.7,81,79,55.56,5.01
Cabo San Lucas,MX,1584164416,22.89,-109.91,40,73,72.0,5.82
Ushuaia,AR,1584164284,-54.8,-68.3,40,50,51.8,12.75
Vao,NC,1584164660,-22.67,167.48,100,89,79.5,18.28
Geraldton,AU,1584164554,-28.77,114.6,90,51,86.0,12.75
Nome,US,1584164649,64.5,-165.41,90,86,33.8,12.75
Kerman,IR,1584165095,30.28,57.08,75,19,50.0,4.43
Hermanus,ZA,1584164540,-34.42,19.23,8,95,59.0,3.0
Puerto Ayora,EC,1584164541,-0.74,-90.35,62,85,77.0,1.99
Lichinga,MZ,1584165101,-13.31,35.24,100,86,74.52,0.94
Atuona,PF,1584164553,-9.8,-139.03,51,68,82.47,10.47
Mogadishu,SO,1584164573,2.04,45.34,82,83,82.31,19.33
George Town,MY,1584164536,5.41,100.34,20,59,93.2,6.93
Rikitea,PF,1584164535,-23.12,-134.97,19,76,77.04,10.49
Hilo,US,1584164434,19.73,-155.09,90,83,72.0,8.05
Acton,GB,1584165114,51.51,-0.28,100,87,46.0,10.29
Mount Gambier,AU,1584164513,-37.83,140.77,40,45,64.4,21.92
Mar del Plata,AR,1584164537,-38.0,-57.56,90,93,66.2,28.86
Lebu,CL,1584164560,-37.62,-73.65,4,93,47.19,4.7
Yulara,AU,1584164583,-25.24,130.99,0,14,96.8,12.75
Busselton,AU,1584164533,-33.65,115.33,100,29,86.0,16.87
Lieksa,FI,1584165127,63.32,30.02,17,56,17.33,16.08
Port Lincoln,AU,1584164609,-34.73,135.87,56,60,63.37,18.39
Lompoc,US,1584164476,34.64,-120.46,90,81,55.4,5.82
Longyearbyen,SJ,1584164608,78.22,15.64,40,63,-5.8,21.92
Saint George,US,1584164579,37.1,-113.58,90,93,50.0,3.36
Carutapera,BR,1584164844,-1.2,-46.02,100,76,81.86,11.12
Halmstad,SE,1584165140,56.67,12.86,0,73,26.6,1.12
Carballo,ES,1584165142,43.21,-8.69,90,100,48.99,3.36
Halifax,CA,1584164690,44.65,-63.57,20,86,41.0,16.11
Nhulunbuy,AU,1584164630,-12.23,136.77,40,59,91.4,11.41
Qaanaaq,GL,1584165148,77.48,-69.36,0,58,-22.0,5.57
Altamont,US,1584165150,42.21,-121.74,90,64,39.99,13.87
Castro,BR,1584165152,-24.79,-50.01,67,90,56.95,3.98
Bilibino,RU,1584164584,68.05,166.44,100,95,-14.15,10.36
Chui,UY,1584165157,-33.7,-53.46,0,88,70.23,9.08
Barrow,US,1584165159,71.29,-156.79,90,85,24.8,28.86
Hobart,AU,1584165063,-42.88,147.33,75,48,61.0,16.11
Yellowknife,CA,1584165002,62.46,-114.35,5,75,-18.0,9.17
Hyères,FR,1584165165,43.12,6.12,15,81,46.4,8.05
Tasiilaq,GL,1584165168,65.61,-37.64,96,77,5.0,1.12
Luorong,CN,1584165170,24.41,109.61,89,57,65.8,12.1
Marau,BR,1584164966,-28.45,-52.2,0,69,66.43,4.05
Iquitos,PE,1584165174,-3.75,-73.25,75,94,77.0,2.08
Henties Bay,NA,1584165176,-22.12,14.28,0,96,61.0,0.85
Plettenberg Bay,ZA,1584165178,-34.05,23.37,12,87,66.83,3.65
Haapiti,PF,1584165180,-17.57,-149.87,20,74,84.2,2.24
Lensk,RU,1584165154,60.73,114.93,55,85,7.38,9.17
Mongu,ZM,1584165185,-15.25,23.13,96,89,70.77,4.76
Wattens,AT,1584165187,47.27,11.6,20,93,34.0,3.36
Zhigansk,RU,1584165189,66.77,123.37,82,92,-5.37,5.99
Pevek,RU,1584165191,69.7,170.31,100,97,-4.9,0.78
Bandi̇̄pur,NP,1584165193,27.93,84.42,66,26,80.47,3.58
Avarua,CK,1584165195,-21.21,-159.78,4,88,78.8,2.24
Hithadhoo,MV,1584165198,-0.6,73.08,14,57,83.8,5.39
Tocopilla,CL,1584164612,-22.09,-70.2,4,55,58.37,2.17
Hvolsvollur,IS,1584165202,63.75,-20.22,0,89,10.99,1.99
Punta Arenas,CL,1584165204,-53.15,-70.92,78,66,51.8,18.34
Porto-Novo,BJ,1584165206,6.5,2.6,75,88,82.4,5.82
Cherskiy,RU,1584165208,68.75,161.3,100,95,-10.88,6.31
Butaritari,KI,1584165210,3.07,172.79,88,70,83.88,9.37
Bambous Virieux,MU,1584165212,-20.34,57.76,75,88,84.0,8.05
Sungai Penuh,ID,1584165215,-2.08,101.38,65,69,76.3,2.51
Kapaa,US,1584165217,22.08,-159.32,40,68,73.4,8.05
Ponta do Sol,PT,1584165219,32.67,-17.1,75,72,59.0,13.87
Nānākuli,US,1584164840,21.39,-158.15,90,94,73.4,5.82
Tarko-Sale,RU,1584165223,64.92,77.78,100,78,39.0,24.74
Dingle,PH,1584165225,11.0,122.67,72,54,87.46,10.33
Shimoda,JP,1584165227,34.67,138.95,75,87,46.4,19.46
Salalah,OM,1584165230,17.02,54.09,40,53,77.0,3.36
Dikson,RU,1584165232,73.51,80.55,100,96,30.06,17.25
Paamiut,GL,1584165234,61.99,-49.67,8,64,2.43,9.31
Karasjok,NO,1584165236,69.47,25.51,0,72,15.8,23.04
Hong Kong,HK,1584165238,22.29,114.16,20,60,79.0,13.87
Upernavik,GL,1584165119,72.79,-56.15,100,97,-11.85,5.77
Arraial do Cabo,BR,1584165243,-22.97,-42.03,0,85,77.09,9.98
Sørland,NO,1584165245,67.67,12.69,95,57,30.29,13.27
Yangi Marg`ilon,UZ,1584165247,40.43,71.72,84,41,59.0,2.24
Coquimbo,CL,1584165249,-29.95,-71.34,75,93,60.8,4.7
Port Alfred,ZA,1584165251,-33.59,26.89,1,98,64.99,5.01
Tiksi,RU,1584165253,71.69,128.87,0,79,-16.42,4.72
Puerto Escondido,MX,1584164766,15.85,-97.07,5,86,70.2,3.38
Tuktoyaktuk,CA,1584165258,69.45,-133.04,90,85,21.2,29.97
Popondetta,PG,1584164813,-8.75,148.25,100,78,82.0,3.38
São Filipe,CV,1584165262,14.9,-24.5,100,59,74.35,12.01
Samarai,PG,1584165264,-10.62,150.67,100,78,83.46,6.46
Bredasdorp,ZA,1584165266,-34.53,20.04,28,87,57.99,4.16
Sinnamary,GF,1584165268,5.38,-52.95,52,80,79.88,17.87
Gambiran,ID,1584165271,-6.8,111.5,70,63,88.56,1.86
Aklavik,CA,1584165273,68.22,-135.01,90,67,23.0,5.82
Tūkrah,LY,1584164785,32.53,20.58,12,86,59.72,6.89
Provideniya,RU,1584165277,64.38,-173.3,100,98,27.77,4.74
Departamento de Maldonado,UY,1584165279,-34.67,-54.92,0,69,75.2,11.41
Richards Bay,ZA,1584165281,-28.78,32.04,83,87,76.64,15.68
Mossamedes,AO,1584165283,-15.2,12.15,92,72,75.61,5.17
Bluff,NZ,1584165285,-46.6,168.33,53,67,58.75,6.2
Talnakh,RU,1584165288,69.49,88.4,75,95,32.0,26.84
Severo-Kuril'sk,RU,1584165290,50.68,156.12,75,82,17.62,26.19
Leningradskiy,RU,1584165292,69.38,178.42,6,98,-6.23,6.04
Yinchuan,CN,1584165294,38.47,106.27,0,11,47.32,0.87
Tayoltita,MX,1584165296,24.08,-105.93,100,52,61.45,5.28
Vangaindrano,MG,1584165298,-23.35,47.6,87,93,75.65,3.83
Troitskoye,RU,1584165300,52.98,84.68,62,99,33.51,11.01
Córdoba,AR,1584165303,-31.41,-64.18,14,88,78.01,6.93
Fortuna,US,1584165305,40.6,-124.16,75,87,48.2,4.7
Jan Kempdorp,ZA,1584165307,-27.92,24.83,0,60,65.46,7.52
Vila Franca do Campo,PT,1584165309,37.72,-25.43,75,81,53.6,5.82
Bethel,US,1584165311,41.37,-73.41,5,44,48.2,16.11
Ulaangom,MN,1584165313,49.98,92.07,96,84,9.79,3.33
Tual,ID,1584164832,-5.67,132.75,54,75,82.98,15.59
Venice,US,1584165288,27.1,-82.45,78,93,71.01,4.7
Loreto,MX,1584165320,22.27,-101.97,57,57,62.69,17.02
Katsuura,JP,1584165322,35.13,140.3,75,93,42.8,14.99
Muisne,EC,1584165324,0.6,-80.03,100,91,75.92,2.3
Baní,DO,1584165326,18.28,-70.33,20,88,73.99,4.0
Cidreira,BR,1584165328,-30.18,-50.21,0,89,74.88,20.69
At-Bashi,KG,1584165331,41.17,75.81,100,48,19.31,0.58
Krasnokholmskiy,RU,1584165333,55.99,55.05,98,88,34.84,17.83
Esperance,AU,1584165335,-33.87,121.9,75,60,73.4,16.11
High Level,CA,1584164763,58.52,-117.14,1,69,-11.2,2.24
Maceió,BR,1584165339,-9.67,-35.74,40,88,77.0,6.04
Labuhan,ID,1584165341,-6.88,112.21,81,66,87.66,3.2
Cape Town,ZA,1584165176,-33.93,18.42,75,100,61.0,5.82
Porto Velho,BR,1584164826,-8.76,-63.9,20,94,77.0,1.12
Pisco,PE,1584165348,-13.7,-76.22,73,83,73.4,4.7
Romny,UA,1584165350,50.75,33.47,19,66,41.85,13.04
Seoul,KR,1584164628,37.57,126.98,75,45,50.0,9.17
Moree,AU,1584164821,-29.47,149.85,40,32,82.4,9.17
Pacific Grove,US,1584165356,36.62,-121.92,90,81,55.4,4.7
Nikolayevsk-on-Amur,RU,1584165359,53.14,140.73,95,85,13.51,5.23
Kontagora,NG,1584164798,10.4,5.47,11,13,70.88,6.85
Kaitangata,NZ,1584165363,-46.28,169.85,10,85,55.35,9.55
Sulangan,PH,1584165365,11.14,123.72,22,75,80.67,9.4
Yebaishou,CN,1584165367,41.4,119.64,21,24,43.09,15.73
General Pico,AR,1584164841,-35.66,-63.76,27,66,69.28,10.58
Barabinsk,RU,1584164794,55.36,78.36,96,85,25.72,16.89
Silopi,TR,1584165374,37.25,42.47,97,76,55.0,6.33
Te Anau,NZ,1584164795,-45.42,167.72,100,73,59.59,1.54
Palmas Bellas,PA,1584165378,9.23,-80.09,18,78,77.0,5.82
Pangnirtung,CA,1584165380,66.15,-65.71,100,97,-30.62,0.47
Chokurdakh,RU,1584165382,70.63,147.92,100,96,-14.91,8.99
Huarmey,PE,1584165384,-10.07,-78.15,98,78,71.24,2.24
Saint-Philippe,RE,1584165386,-21.36,55.77,75,78,82.4,21.92
Panjāb,AF,1584165389,34.39,67.02,0,52,21.76,4.47
Tsimmerbude,RU,1584165391,54.67,20.13,75,74,33.8,11.18
Zhangaözen,KZ,1584165393,43.3,52.8,56,38,57.6,23.06
Krasnosel'kup,RU,1584165395,65.7,82.47,100,100,33.75,19.26
Venado,MX,1584165397,22.93,-101.08,78,63,64.78,13.22
Ambulu,ID,1584165399,-8.35,113.61,87,75,82.35,8.08
Kembé,CF,1584165402,4.62,21.89,89,77,75.87,2.48
Kūhdasht,IR,1584165404,33.53,47.61,90,23,62.6,11.41
Hambantota,LK,1584165406,6.12,81.12,20,59,89.6,5.82
Dwārka,IN,1584165408,22.24,68.97,0,49,77.23,10.25
Avera,US,1584165410,33.19,-82.53,1,93,68.0,3.29
East London,ZA,1584165378,-33.02,27.91,12,88,69.8,9.17
Lüderitz,NA,1584165414,-26.65,15.16,0,88,62.6,8.05
Saint Paul Harbor,US,1584165417,57.79,-152.41,1,63,30.2,5.82
Kruisfontein,ZA,1584165419,-34.0,24.73,7,82,67.33,8.16
New Norfolk,AU,1584165421,-42.78,147.06,75,48,61.0,16.11
Carnarvon,AU,1584165423,-24.87,113.63,0,74,86.0,13.87
Saskylakh,RU,1584165425,71.92,114.08,67,87,-9.31,23.13
Caravelas,BR,1584165427,-17.71,-39.25,61,75,79.63,3.29
Bereda,ES,1584165429,43.27,-7.54,90,93,46.0,5.82
Sakakah,SA,1584165431,29.97,40.21,75,76,55.4,9.17
Visby,SE,1584165434,57.64,18.3,17,54,28.4,20.8
Makaleng,BW,1584165436,-20.9,27.28,40,100,66.2,2.24
Viedma,AR,1584165438,-40.81,-63.0,0,42,62.35,23.55
Ixtapa,MX,1584165195,20.7,-105.2,5,88,73.4,3.49
Vostok,RU,1584165442,46.49,135.88,99,80,21.6,8.57
The Valley,AI,1584165289,18.22,-63.06,75,88,77.0,1.12
Laguna,US,1584165214,38.42,-121.42,1,76,57.2,14.99
Humaitá,BR,1584165449,-7.51,-63.02,92,94,75.27,2.1
Mezen',RU,1584165451,65.85,44.24,79,90,23.92,11.01
Vanimo,PG,1584165454,-2.67,141.3,98,76,82.96,13.35
La Flèche,FR,1584165456,47.7,-0.08,90,81,48.0,6.93
Nsanje,MW,1584165458,-16.92,35.26,100,79,77.72,0.92
Shenzhen,CN,1584165460,22.55,114.07,20,56,79.0,12.75
Volchikha,RU,1584165462,52.03,80.38,4,86,33.15,12.35
Māndal,IN,1584165464,25.45,74.57,0,20,74.37,9.64
Rocha,UY,1584165467,-34.48,-54.33,0,78,68.18,12.08
San Rafael,AR,1584165469,-34.62,-68.33,16,49,67.91,6.69
Camocim,BR,1584165471,-2.9,-40.84,100,99,72.03,3.27
Christchurch,NZ,1584165216,-43.53,172.63,0,82,66.99,13.87
Tura,IN,1584165368,25.52,90.22,99,28,91.06,7.0
Bonavista,CA,1584165477,48.65,-53.11,100,82,27.0,15.01
Wagar,SD,1584165479,16.15,36.2,99,14,77.63,15.59
Lorengau,PG,1584165482,-2.02,147.27,0,75,84.76,14.52
Toora-Khem,RU,1584165484,52.47,96.11,19,88,28.4,2.04
Codrington,AU,1584165486,-38.27,141.97,90,66,57.58,15.59
Peddapalli,IN,1584165488,18.62,79.37,50,33,90.28,9.19
Keti Bandar,PK,1584165490,24.14,67.45,0,30,80.58,7.63
Caranavi,BO,1584165492,-15.82,-67.55,100,95,59.65,3.83
Cockburn Town,TC,1584165485,21.46,-71.14,27,79,76.66,20.38
Jining,CN,1584165497,35.41,116.58,0,15,60.93,15.82
Grindavik,IS,1584165499,63.84,-22.43,20,79,24.8,9.17
Dali,CN,1584165501,25.7,100.18,0,21,73.31,6.31
Nouakchott,MR,1584165503,18.09,-15.98,2,93,60.8,4.7
Touros,BR,1584165505,-5.2,-35.46,75,94,75.2,6.93
Carlisle,US,1584165507,40.2,-77.19,1,29,51.8,14.99
Jalu,LY,1584165510,29.03,21.55,9,84,55.58,8.93
Nikolskoye,RU,1584165512,59.7,30.79,100,57,27.0,11.18
Lerwick,GB,1584165514,60.15,-1.15,100,75,41.0,27.51
Taoudenni,ML,1584165516,22.68,-3.98,0,13,66.33,6.91
Nieuwpoort,BE,1584165518,51.12,2.77,100,87,42.8,9.17
Shingū,JP,1584165520,33.73,135.98,40,66,53.6,16.11
Kieta,PG,1584165522,-6.22,155.63,71,80,84.4,15.57
Russell,US,1584165525,32.35,-85.2,1,93,66.2,3.62
Puerto Rondón,CO,1584165527,6.28,-71.1,100,56,79.59,2.35
Kavaratti,IN,1584165529,10.57,72.64,44,75,81.7,12.66
Kupang,ID,1584165531,-10.17,123.58,75,84,86.0,4.7
Amarante,BR,1584165533,-6.24,-42.85,100,98,72.18,2.24
Anadyr,RU,1584165535,64.75,177.48,56,85,17.6,13.42
Venado Tuerto,AR,1584165537,-33.75,-61.97,35,82,73.99,4.36
Morón,AR,1584165540,-34.65,-58.62,24,88,80.01,5.82
Masvingo,ZW,1584165542,-20.06,30.83,17,74,72.18,3.22
Wentzville,US,1584165544,38.81,-90.85,75,67,45.0,4.7
Abdulino,RU,1584165546,53.7,53.67,25,89,34.05,12.77
Thompson,CA,1584165548,55.74,-97.86,40,58,-4.0,11.41
Kavieng,PG,1584165550,-2.57,150.8,8,76,83.89,15.12
Ribas do Rio Pardo,BR,1584165552,-20.44,-53.76,27,87,70.48,3.2
Manokwari,ID,1584165555,-0.87,134.08,68,90,75.47,6.78
Mackay,AU,1584165557,-21.15,149.2,61,58,84.99,16.11
Srednekolymsk,RU,1584165559,67.45,153.68,49,90,-12.46,7.18
Bétaré Oya,CM,1584165561,5.6,14.08,37,27,63.81,1.14
Cayenne,GF,1584165563,4.93,-52.33,42,78,78.8,6.93
Gornopravdinsk,RU,1584165565,60.05,69.9,100,97,35.56,12.64
Santa Cruz de la Sierra,BO,1584165400,-17.8,-63.17,35,83,78.8,5.82
Nālūt,LY,1584165570,30.33,10.85,52,32,53.08,7.09
Vilcún,CL,1584165572,-38.65,-72.23,0,100,42.01,1.12
Kulhudhuffushi,MV,1584165574,6.62,73.07,0,76,84.02,12.44
Kiunga,PG,1584165576,-6.12,141.29,88,95,81.81,4.23
Gēdo,ET,1584165578,9.02,37.45,65,57,68.95,1.45
Vardø,NO,1584165580,70.37,31.11,100,76,20.16,22.75
Apartadó,CO,1584165582,7.88,-76.63,83,95,71.71,1.77
Hirara,JP,1584165585,24.8,125.28,75,82,66.2,16.11
Tete,MZ,1584165587,-16.16,33.59,75,83,77.0,2.39
Vuktyl,RU,1584165589,63.86,57.31,100,99,31.98,10.11
Tabuk,PH,1584165591,17.42,121.44,31,52,87.53,8.08
Iqaluit,CA,1584165593,63.75,-68.51,5,60,-25.01,13.87
Savinka,RU,1584165595,50.08,47.1,100,72,47.19,7.92
Caetité,BR,1584165598,-14.07,-42.48,82,93,65.77,11.21
Kwinana,AU,1584165600,-32.25,115.77,75,40,87.8,11.41
Mugur-Aksy,RU,1584165602,50.35,90.5,55,56,23.5,7.2
Bengkulu,ID,1584165605,-3.8,102.27,100,73,85.78,6.2
Swellendam,ZA,1584165607,-34.02,20.44,33,87,53.6,3.83
Bonfim,BR,1584165610,3.08,-59.95,32,73,78.06,6.04
Luxor,EG,1584165612,25.7,32.64,0,55,62.6,9.17
Mayo,US,1584165614,38.89,-76.51,1,32,55.4,9.17
Severo-Yeniseyskiy,RU,1584165616,60.37,93.04,98,87,31.39,9.28
Half Moon Bay,US,1584165618,37.46,-122.43,90,81,54.0,9.17
Poum,NC,1584165621,-20.23,164.02,98,77,82.69,9.37
Olafsvik,IS,1584165623,64.89,-23.71,100,73,26.85,24.18
Tonota,BW,1584165625,-21.48,27.48,40,100,66.2,2.24
Tomatlán,MX,1584165627,19.93,-105.25,0,83,66.63,2.37
Mahébourg,MU,1584165629,-20.41,57.7,75,88,84.0,8.05
Hobyo,SO,1584165632,5.35,48.53,96,65,84.88,18.25
Harper,LR,1584165634,4.38,-7.72,18,96,76.77,2.59
Estelle,US,1584165621,29.85,-90.11,75,94,70.0,4.7
Shelburne,CA,1584165484,44.08,-80.2,90,55,35.6,10.29
Río Gallegos,AR,1584165422,-51.62,-69.22,49,75,46.4,5.82
Kanigiri,IN,1584165642,15.4,79.52,4,34,91.65,9.75
Bairiki Village,KI,1584165645,1.33,172.98,40,70,86.0,3.36
Arrondissement de Nogent-le-Rotrou,FR,1584165647,48.33,1.0,90,87,43.0,4.7
Stornoway,GB,1584165649,58.21,-6.39,100,86,42.01,21.92
Raja,SS,1584165651,8.46,25.68,21,27,75.81,2.93
Baykit,RU,1584165653,61.67,96.37,100,91,32.09,8.66
Mehamn,NO,1584165655,71.04,27.85,100,77,15.06,10.02
Zaozyornoye,UA,1584165657,45.16,33.28,37,82,48.52,13.2
Saldanha,ZA,1584165659,-33.01,17.94,33,87,60.8,2.24
Port Elizabeth,ZA,1584165662,-33.92,25.57,90,100,64.4,14.99
Coahuayana Viejo,MX,1584165664,18.73,-103.68,55,92,70.65,2.24
Cedar City,US,1584165666,37.68,-113.06,20,93,37.99,13.87
Plymouth,US,1584165560,41.83,-70.83,1,48,45.0,8.05
Mozarlândia,BR,1584165670,-14.74,-50.57,53,88,73.6,3.58
Masallātah,LY,1584165673,32.62,14.0,94,36,59.34,12.28
Tabas,IR,1584165675,33.6,56.92,91,15,64.4,2.24
Sakaraha,MG,1584165677,-22.9,44.53,0,53,80.37,6.51
Jesús Carranza,MX,1584165679,17.43,-95.03,3,96,70.12,1.32
Evensk,RU,1584165682,61.95,159.23,100,78,5.09,19.01
Januária,BR,1584165684,-15.48,-44.37,74,97,67.3,4.16
Narsaq,GL,1584165686,60.92,-46.05,98,73,19.4,1.32
Esik,KZ,1584165688,43.36,77.45,20,40,53.6,6.71
Caxito,AO,1584165690,-8.58,13.66,40,88,80.6,5.82
Port Blair,IN,1584165692,11.67,92.75,100,69,82.27,10.22
São Félix do Xingu,BR,1584165695,-6.64,-51.99,96,98,71.26,0.85
Deputatsky,RU,1584165697,69.3,139.9,0,83,-17.37,1.88
Talitsy,RU,1584165699,56.53,42.33,46,95,34.14,8.48
Ellisras,ZA,1584165701,-23.66,27.74,0,56,76.08,7.38
Tyumentsevo,RU,1584165703,53.32,81.5,89,88,27.5,15.48
Barcelos,PT,1584165705,41.54,-8.62,24,93,51.01,3.2
Tevriz,RU,1584165708,57.51,72.4,100,89,36.23,12.33
Artigas,UY,1584165710,-30.4,-56.47,0,45,78.89,10.87
Sechura,PE,1584165712,-5.56,-80.82,18,87,74.77,6.24
Ol'ga,RU,1584165714,43.74,135.29,1,74,32.86,23.71
Kutum,SD,1584165717,14.2,24.67,99,23,59.76,5.06
Rimouski,CA,1584165683,48.45,-68.52,90,100,30.2,11.41
Auki,SB,1584165721,-8.77,160.7,81,77,84.85,18.12
Berbera,SO,1584165723,10.44,45.01,73,71,79.27,1.63
Mehrān,IR,1584165725,33.12,46.16,90,81,46.4,13.87
Quatre Cocos,MU,1584165728,-20.21,57.76,75,88,84.0,8.05
Alta Floresta,BR,1584165730,-9.88,-56.09,100,99,71.98,4.05
Ubari,LY,1584165732,26.59,12.78,0,32,54.68,9.37
Kaura Namoda,NG,1584165734,12.59,6.58,22,25,63.88,13.15
Goderich,CA,1584165736,43.75,-81.72,33,84,34.0,11.99
Kotido,UG,1584165738,2.98,34.13,100,55,76.51,5.93
Acapulco de Juárez,MX,1584165602,16.86,-99.89,5,78,78.8,3.6
Cabadiangan,PH,1584165743,9.75,122.47,3,66,82.13,7.87
Kiryat Gat,IL,1584165745,31.61,34.76,40,87,61.0,3.36
Forbes,AU,1584165747,-33.38,148.02,21,62,73.0,5.01
Elizabeth City,US,1584165749,36.29,-76.25,1,67,64.4,11.41
Lushoto,TZ,1584165751,-4.78,38.28,100,79,75.54,2.44
Alofi,NU,1584165755,-19.06,-169.92,100,83,82.4,6.93
Brigantine,US,1584165757,39.41,-74.36,1,25,53.6,11.41
Moose Factory,CA,1584165759,51.26,-80.61,90,85,12.2,20.8
Beringovskiy,RU,1584165761,63.05,179.32,100,76,16.57,6.26
Yar-Sale,RU,1584165763,66.83,70.83,100,99,32.25,11.88
Ishigaki,JP,1584165765,24.34,124.16,75,82,64.4,13.87
Vikhorevka,RU,1584165767,56.12,101.16,73,56,42.8,6.71
Alice Springs,AU,1584165770,-23.7,133.88,2,20,93.2,17.22
Ayagoz,KZ,1584165772,47.97,80.44,34,84,32.63,8.81
Labuan,MY,1584165774,5.28,115.24,75,66,91.4,3.36
Mersing,MY,1584165776,2.43,103.84,40,75,89.6,8.05
